Date,Hour,Load,Temp,Day,Time
6,19,9.125,32.2,Weekday,Night
6,20,7.9375,30.3,Weekday,Night
6,21,6.8125,30.3,Weekday,Night
6,22,5.25,30.3,Weekday,Night
6,23,5.5,29.4,Weekday,Night
6,24,5.6875,29.4,Weekday,Night
7,1,5.125,28.3,Weekday,Night
7,2,7.0625,28.3,Weekday,Night
7,3,5.375,28.3,Weekday,Night
7,4,5.1875,28.3,Weekday,Night
7,5,6.25,28.3,Weekday,Day
7,6,24.4375,28.3,Weekday,Day
7,7,23.75,28.3,Weekday,Day
7,8,36.75,28.3,Weekday,Day
7,9,49.3125,29.3,Weekday,Day
7,10,39.8125,30.2,Weekday,Day
7,11,39.25,32.1,Weekday,Day
7,12,45.75,33,Weekday,Day
7,13,51.3125,33,Weekday,Day
7,14,43.4375,34,Weekday,Day
7,15,34.25,34,Weekday,Day
7,16,29.25,34,Weekday,Day
7,17,23.3125,34,Weekday,Day
7,18,13.6875,33,Weekday,Night
7,19,10.875,32.1,Weekday,Night
7,20,8,30.2,Weekday,Night
7,21,7.75,30.2,Weekday,Night
7,22,6.25,30.2,Weekday,Night
7,23,6.25,29.3,Weekday,Night
7,24,6,29.3,Weekday,Night
8,1,5.6875,26.4,Weekday,Night
8,2,7.0625,26.4,Weekday,Night
8,3,5.625,26.4,Weekday,Night
8,4,5.4375,26.4,Weekday,Night
8,5,4.625,26.4,Weekday,Day
8,6,20.125,26.4,Weekday,Day
8,7,29,26.4,Weekday,Day
8,8,32.75,26.4,Weekday,Day
8,9,33.5,27.3,Weekday,Day
8,10,32.5,28.1,Weekday,Day
8,11,34,29.9,Weekday,Day
8,12,35.625,30.8,Weekday,Day
8,13,28,30.8,Weekday,Day
8,14,28.875,31.7,Weekday,Day
8,15,40.75,31.7,Weekday,Day
8,16,36.125,31.7,Weekday,Day
8,17,25.25,31.7,Weekday,Day
8,18,15.0625,30.8,Weekday,Night
8,19,10.3125,29.9,Weekday,Night
8,20,7.75,28.1,Weekday,Night
8,21,7.375,28.1,Weekday,Night
8,22,6.75,28.1,Weekday,Night
8,23,6.5,27.3,Weekday,Night
8,24,7,27.3,Weekday,Night
9,1,6.4375,26.7,Weekend,Night
9,2,7.875,26.7,Weekend,Night
9,3,6.1875,26.7,Weekend,Night
9,4,5.125,26.7,Weekend,Night
9,5,5.625,26.7,Weekend,Day
9,6,4.875,26.7,Weekend,Day
9,7,4.375,26.7,Weekend,Day
9,8,4.25,26.7,Weekend,Day
9,9,1.375,27.5,Weekend,Day
9,10,2.25,28.4,Weekend,Day
9,11,1.0625,30.2,Weekend,Day
9,12,-0.5625,31.1,Weekend,Day
9,13,-0.875,31.1,Weekend,Day
9,14,-0.1875,32,Weekend,Day
9,15,6.4375,32,Weekend,Day
9,16,9.75,32,Weekend,Day
9,17,10,32,Weekend,Day
9,18,10.125,31.1,Weekend,Night
9,19,7.625,30.2,Weekend,Night
9,20,8,28.4,Weekend,Night
9,21,9.625,28.4,Weekend,Night
9,22,8.5,28.4,Weekend,Night
9,23,10,27.5,Weekend,Night
9,24,7.6875,27.5,Weekend,Night
10,1,7.25,27.4,Weekend,Night
10,2,7.5,27.4,Weekend,Night
10,3,6.6875,27.4,Weekend,Night
10,4,8.375,27.4,Weekend,Night
10,5,6.75,27.4,Weekend,Day
10,6,6.25,27.4,Weekend,Day
10,7,5.3125,27.4,Weekend,Day
10,8,2.4375,27.4,Weekend,Day
10,9,2.75,28.3,Weekend,Day
10,10,1.5625,29.2,Weekend,Day
10,11,1.6875,31,Weekend,Day
10,12,0.1875,32,Weekend,Day
10,13,0,32,Weekend,Day
10,14,-0.0625,32.9,Weekend,Day
10,15,7.75,32.9,Weekend,Day
10,16,9.1875,32.9,Weekend,Day
10,17,9.625,32.9,Weekend,Day
10,18,10.125,32,Weekend,Night
10,19,8.5,31,Weekend,Night
10,20,10.6875,29.2,Weekend,Night
10,21,8.6875,29.2,Weekend,Night
10,22,8.8125,29.2,Weekend,Night
10,23,8.25,28.3,Weekend,Night
10,24,6.125,28.3,Weekend,Night
11,1,8.125,27.5,Weekday,Night
11,2,5.9375,27.5,Weekday,Night
11,3,6.4375,27.5,Weekday,Night
11,4,5.875,27.5,Weekday,Night
11,5,6.25,27.5,Weekday,Day
11,6,23.375,27.5,Weekday,Day
11,7,23.5,27.5,Weekday,Day
11,8,32.125,27.5,Weekday,Day
11,9,36.75,28.4,Weekday,Day
11,10,35.625,29.3,Weekday,Day
11,11,32.8125,31.2,Weekday,Day
11,12,39.1875,32.1,Weekday,Day
11,13,38.4375,32.1,Weekday,Day
11,14,37.9375,33,Weekday,Day
11,15,33.125,33,Weekday,Day
11,16,30.5,33,Weekday,Day
11,17,19.625,33,Weekday,Day
11,18,11.875,32.1,Weekday,Night
11,19,10.5,31.2,Weekday,Night
11,20,8.5,29.3,Weekday,Night
11,21,7.25,29.3,Weekday,Night
11,22,6.625,29.3,Weekday,Night
11,23,6.375,28.4,Weekday,Night
11,24,6.1875,28.4,Weekday,Night
12,1,5.3125,27.5,Weekday,Night
12,2,7.875,27.5,Weekday,Night
12,3,5.375,27.5,Weekday,Night
12,4,5.1875,27.5,Weekday,Night
12,5,8.4375,27.5,Weekday,Day
12,6,21.5,27.5,Weekday,Day
12,7,21.875,27.5,Weekday,Day
12,8,27.875,27.5,Weekday,Day
12,9,36.4375,28.4,Weekday,Day
